,insertion_timestamp,device_id,Soil moisture,device_name
0,2025-01-13T19:41:29.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
1,2025-01-13T19:41:30.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,36,Moisture Sensor
2,2025-01-13T19:41:31.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
3,2025-01-13T19:41:32.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
4,2025-01-13T19:41:33.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
5,2025-01-13T19:41:34.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
6,2025-01-13T19:41:35.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
7,2025-01-13T19:41:36.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
8,2025-01-13T19:41:37.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,36,Moisture Sensor
9,2025-01-13T19:41:38.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
10,2025-01-13T19:41:39.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
11,2025-01-13T19:41:40.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
12,2025-01-13T19:41:41.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
13,2025-01-13T19:41:42.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
14,2025-01-13T19:41:43.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
15,2025-01-13T19:41:44.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
16,2025-01-13T19:41:45.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
17,2025-01-13T19:41:46.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
18,2025-01-13T19:41:47.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
19,2025-01-13T19:41:48.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
20,2025-01-13T19:41:49.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
21,2025-01-13T19:41:50.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
22,2025-01-13T19:41:51.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
23,2025-01-13T19:41:52.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
24,2025-01-13T19:41:53.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
25,2025-01-13T19:41:54.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
26,2025-01-13T19:41:55.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
27,2025-01-13T19:41:56.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
28,2025-01-13T19:41:57.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
29,2025-01-13T19:41:58.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,37,Moisture Sensor
30,2025-01-13T19:41:59.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
31,2025-01-13T19:42:00.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
32,2025-01-13T19:42:01.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
33,2025-01-13T19:42:02.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
34,2025-01-13T19:42:03.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
35,2025-01-13T19:42:04.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
36,2025-01-13T19:42:05.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
37,2025-01-13T19:42:06.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
38,2025-01-13T19:42:07.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
39,2025-01-13T19:42:08.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,38,Moisture Sensor
40,2025-01-13T19:42:09.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
41,2025-01-13T19:42:10.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
42,2025-01-13T19:42:11.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
43,2025-01-13T19:42:12.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
44,2025-01-13T19:42:13.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
