Unnamed: 0,insertion_timestamp,Soil moisture,Raining,Temperature,Humidity,Weather Condition,Predicted Weather Condition
0,2025-01-13T19:41:29.000Z,37,0,27.60000038,67,Sunny,2
1,2025-01-13T19:41:30.000Z,36,0,27.60000038,67,Sunny,2
2,2025-01-13T19:41:31.000Z,37,0,27.60000038,67,Sunny,2
3,2025-01-13T19:41:32.000Z,37,0,27.60000038,67,Sunny,2
4,2025-01-13T19:41:33.000Z,37,0,27.60000038,67,Sunny,2
5,2025-01-13T19:41:34.000Z,37,0,27.60000038,67,Sunny,2
6,2025-01-13T19:41:35.000Z,37,0,27.60000038,68,Sunny,2
7,2025-01-13T19:41:36.000Z,37,0,27.60000038,68,Sunny,2
8,2025-01-13T19:41:37.000Z,36,0,27.60000038,68,Sunny,2
9,2025-01-13T19:41:38.000Z,37,0,27.60000038,68,Sunny,2
10,2025-01-13T19:41:39.000Z,38,0,27.60000038,68,Sunny,2
11,2025-01-13T19:41:40.000Z,37,0,27.60000038,68,Sunny,2
12,2025-01-13T19:41:41.000Z,38,0,27.60000038,68,Sunny,2
13,2025-01-13T19:41:42.000Z,37,0,27.60000038,68,Sunny,2
14,2025-01-13T19:41:43.000Z,38,0,27.60000038,68,Sunny,2
15,2025-01-13T19:41:44.000Z,37,0,27.60000038,68,Sunny,2
16,2025-01-13T19:41:45.000Z,38,0,27.60000038,68,Sunny,2
17,2025-01-13T19:41:46.000Z,37,0,27.60000038,68,Sunny,2
18,2025-01-13T19:41:47.000Z,38,0,27.60000038,68,Sunny,2
19,2025-01-13T19:41:48.000Z,37,0,27.60000038,68,Sunny,2
20,2025-01-13T19:41:49.000Z,38,0,27.60000038,68,Sunny,2
21,2025-01-13T19:41:50.000Z,38,0,27.60000038,68,Sunny,2
22,2025-01-13T19:41:51.000Z,38,0,27.60000038,68,Sunny,2
23,2025-01-13T19:41:52.000Z,38,0,27.60000038,68,Sunny,2
24,2025-01-13T19:41:53.000Z,38,0,27.60000038,68,Sunny,2
25,2025-01-13T19:41:54.000Z,38,0,27.60000038,68,Sunny,2
26,2025-01-13T19:41:55.000Z,39,0,27.79999924,68,Sunny,2
27,2025-01-13T19:41:56.000Z,38,0,27.79999924,68,Sunny,2
28,2025-01-13T19:41:57.000Z,38,0,27.89999962,68,Sunny,2
29,2025-01-13T19:41:58.000Z,37,0,27.89999962,68,Sunny,2
30,2025-01-13T19:41:59.000Z,38,0,28.0,67,Sunny,2
31,2025-01-13T19:42:00.000Z,38,0,28.0,67,Sunny,2
32,2025-01-13T19:42:01.000Z,39,0,28.0,67,Sunny,2
33,2025-01-13T19:42:02.000Z,38,0,28.0,67,Sunny,2
34,2025-01-13T19:42:03.000Z,39,0,28.0,67,Sunny,2
35,2025-01-13T19:42:04.000Z,38,0,28.0,67,Sunny,2
36,2025-01-13T19:42:05.000Z,39,0,28.0,67,Sunny,2
37,2025-01-13T19:42:06.000Z,39,0,28.0,67,Sunny,2
38,2025-01-13T19:42:07.000Z,39,0,28.0,67,Sunny,2
39,2025-01-13T19:42:08.000Z,38,0,28.0,67,Sunny,2
40,2025-01-13T19:42:09.000Z,39,0,28.0,67,Sunny,2
41,2025-01-13T19:42:10.000Z,39,0,28.0,67,Sunny,2
42,2025-01-13T19:42:11.000Z,39,0,28.0,67,Sunny,2
43,2025-01-13T19:42:12.000Z,39,0,28.0,67,Sunny,2
44,2025-01-13T19:42:13.000Z,39,0,28.0,67,Sunny,2
45,2025-01-13T19:42:14.000Z,39,0,28.0,67,Sunny,2
46,2025-01-13T19:42:15.000Z,39,0,28.0,67,Sunny,2
47,2025-01-13T19:42:16.000Z,38,0,28.0,67,Sunny,2
48,2025-01-13T19:42:17.000Z,39,0,28.0,67,Sunny,2
49,2025-01-13T19:42:18.000Z,39,0,28.0,67,Sunny,2
50,2025-01-13T19:42:19.000Z,39,0,28.0,67,Sunny,2
51,2025-01-13T19:42:20.000Z,38,0,28.0,67,Sunny,2
52,2025-01-13T19:42:21.000Z,39,0,28.0,67,Sunny,2
53,2025-01-13T19:42:22.000Z,39,0,28.0,67,Sunny,2
54,2025-01-13T19:42:23.000Z,39,0,28.0,67,Sunny,2
55,2025-01-13T19:42:24.000Z,39,0,28.0,67,Sunny,2
56,2025-01-13T19:42:25.000Z,39,0,28.0,67,Sunny,2
57,2025-01-13T19:42:26.000Z,39,0,28.0,67,Sunny,2
58,2025-01-13T19:42:27.000Z,39,0,28.0,67,Sunny,2
59,2025-01-13T19:42:28.000Z,39,0,28.0,67,Sunny,2
60,2025-01-13T19:42:29.000Z,39,0,28.0,67,Sunny,2
61,2025-01-13T19:42:30.000Z,39,0,28.0,67,Sunny,2
62,2025-01-13T19:42:31.000Z,39,0,28.0,67,Sunny,2
63,2025-01-13T19:42:32.000Z,39,0,28.0,67,Sunny,2
64,2025-01-13T19:42:33.000Z,39,0,28.0,67,Sunny,2
65,2025-01-13T19:42:34.000Z,39,0,28.0,67,Sunny,2
66,2025-01-13T19:42:35.000Z,40,0,28.0,67,Sunny,2
67,2025-01-13T19:42:36.000Z,39,0,28.0,67,Sunny,2
68,2025-01-13T19:42:37.000Z,39,0,28.0,67,Sunny,2
69,2025-01-13T19:42:38.000Z,39,0,28.0,67,Sunny,2
70,2025-01-13T19:42:39.000Z,40,0,28.0,66,Sunny,2
71,2025-01-13T19:42:40.000Z,39,0,28.0,66,Sunny,2
72,2025-01-13T19:42:41.000Z,39,0,28.0,66,Sunny,2
73,2025-01-13T19:42:42.000Z,39,0,28.0,66,Sunny,2
74,2025-01-13T19:42:43.000Z,40,0,28.0,66,Sunny,2
75,2025-01-13T19:42:44.000Z,39,0,28.0,66,Sunny,2
76,2025-01-13T19:42:45.000Z,39,0,28.0,66,Sunny,2
77,2025-01-13T19:42:46.000Z,39,0,28.0,66,Sunny,2
78,2025-01-13T19:42:47.000Z,40,0,28.0,66,Sunny,2
79,2025-01-13T19:42:48.000Z,39,0,28.0,66,Sunny,2
80,2025-01-13T19:42:49.000Z,40,0,28.0,66,Sunny,2
81,2025-01-13T19:42:50.000Z,39,0,28.0,66,Sunny,2
